VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2016-06-24 08:43:54,2016-06-24 08:50:16,N,1,-73.882148742675781,40.755859375,-73.858924865722656,40.756504058837891,1,1.30,7,0,0.5,0,0,,0.3,7.8,2,1
1,2016-06-20 23:09:21,2016-06-20 23:17:10,N,1,-73.9742431640625,40.679779052734375,-73.991142272949219,40.685401916503906,1,1.00,7,0.5,0.5,1.65,0,,0.3,9.95,1,1
2,2016-06-25 14:42:37,2016-06-25 15:25:23,N,1,-73.871017456054688,40.733905792236328,-73.951019287109375,40.783298492431641,1,7.32,32,0,0.5,6.56,0,,0.3,39.36,1,1
2,2016-06-23 22:03:34,2016-06-23 22:23:14,N,1,-73.957611083984375,40.717929840087891,-73.875389099121094,40.723045349121094,1,6.17,20.5,0.5,0.5,4.36,0,,0.3,26.16,1,1
2,2016-06-30 17:38:02,2016-06-30 17:41:34,N,1,-73.950920104980469,40.810428619384766,-73.952781677246094,40.815837860107422,1,.50,4.5,1,0.5,0,0,,0.3,6.3,2,1
2,2016-06-23 11:07:46,2016-06-23 11:14:07,N,1,-73.844596862792969,40.721504211425781,-73.850425720214844,40.723369598388672,1,.61,6,0,0.5,0,0,,0.3,6.8,2,1
2,2016-06-23 14:00:39,2016-06-23 14:13:26,N,1,-73.959457397460937,40.813907623291016,-73.93060302734375,40.851001739501953,1,3.55,13.5,0,0.5,1.5,0,,0.3,15.8,1,1
2,2016-06-26 09:59:37,2016-06-26 10:07:31,N,1,-73.988723754882813,40.675350189208984,-73.987541198730469,40.688114166259766,6,1.25,7.5,0,0.5,1.66,0,,0.3,9.96,1,1
2,2016-06-19 19:10:01,2016-06-19 19:15:51,N,1,-73.987335205078125,40.693614959716797,-73.961357116699219,40.693927764892578,1,1.68,7,0,0.5,1.56,0,,0.3,9.36,1,1
2,2016-06-23 15:33:53,2016-06-23 15:45:53,N,1,-73.939628601074219,40.805702209472656,-73.958030700683594,40.778495788574219,1,1.99,10,0,0.5,2.16,0,,0.3,12.96,1,1
2,2016-06-24 22:20:48,2016-06-24 22:37:23,N,1,-73.95257568359375,40.651515960693359,-73.949516296386719,40.697052001953125,1,3.39,14,0.5,0.5,0,0,,0.3,15.3,2,1
1,2016-06-23 16:31:00,2016-06-23 17:01:55,N,1,-73.937667846679688,40.843879699707031,-73.917648315429688,40.841537475585937,1,4.30,21,1,0.5,0,0,,0.3,22.8,2,1
2,2016-06-22 19:05:51,2016-06-22 19:11:26,N,1,-73.96917724609375,40.689548492431641,-73.976371765136719,40.685897827148437,1,.77,5.5,1,0.5,0,0,,0.3,7.3,2,1
2,2016-06-11 18:28:00,2016-06-11 18:35:34,N,1,-73.890815734863281,40.746482849121094,-73.876724243164063,40.744209289550781,1,1.03,6.5,0,0.5,0,0,,0.3,7.3,2,1
2,2016-06-08 14:49:01,2016-06-08 14:57:41,N,1,-73.844146728515625,40.721771240234375,-73.810920715332031,40.730495452880859,1,2.21,9,0,0.5,0,0,,0.3,9.8,2,1
2,2016-06-12 12:00:52,2016-06-12 12:33:44,N,1,-73.941520690917969,40.813388824462891,-73.985496520996094,40.759010314941406,1,6.69,28,0,0.5,0,0,,0.3,28.8,2,1
2,2016-06-14 17:19:23,2016-06-14 17:23:46,N,1,-73.978256225585937,40.679756164550781,-73.985366821289063,40.674365997314453,1,.66,5,1,0.5,0,0,,0.3,6.8,2,1
2,2016-06-13 22:47:45,2016-06-13 22:57:38,N,1,-73.955780029296875,40.694557189941406,-73.946609497070312,40.695751190185547,1,.49,3.5,0.5,0.5,1.44,0,,0.3,6.24,1,1
2,2016-06-29 11:36:14,2016-06-29 11:54:40,N,1,-73.948295593261719,40.789501190185547,-73.950592041015625,40.771171569824219,6,1.69,12,0,0.5,0,0,,0.3,12.8,2,1
2,2016-06-08 13:13:48,2016-06-08 13:25:48,N,1,-73.844093322753906,40.721286773681641,-73.814567565917969,40.709636688232422,1,1.85,10,0,0.5,2.7,0,,0.3,13.5,1,1
1,2016-06-12 02:19:07,2016-06-12 02:37:38,N,1,-73.884918212890625,40.747493743896484,-73.904388427734375,40.675056457519531,1,10.30,29.5,0.5,0.5,0,0,,0.3,30.8,2,1
2,2016-06-05 12:07:35,2016-06-05 12:21:47,N,1,-73.982223510742188,40.678916931152344,-73.994613647460938,40.697685241699219,1,2.23,11,0,0.5,2.36,0,,0.3,14.16,1,1
2,2016-06-23 22:08:27,2016-06-23 22:11:43,N,1,-73.807601928710938,40.700653076171875,-73.800369262695313,40.6905517578125,1,.94,5,0.5,0.5,0,0,,0.3,6.3,2,1
2,2016-06-19 06:44:04,2016-06-19 07:07:44,N,1,-73.861618041992188,40.8336181640625,-73.939399719238281,40.841461181640625,1,5.50,22,0,0.5,0,0,,0.3,22.8,2,1
2,2016-06-11 20:47:44,2016-06-11 20:58:58,N,1,-73.807197570800781,40.699348449707031,-73.786636352539063,40.667640686035156,1,2.63,10.5,0.5,0.5,2.95,0,,0.3,14.75,1,1
2,2016-06-24 01:43:24,2016-06-24 01:46:41,N,1,-73.965377807617187,40.7137451171875,-73.957931518554687,40.717735290527344,1,.60,4,0.5,0.5,0,0,,0.3,5.3,2,1
1,2016-06-13 15:22:38,2016-06-13 15:35:14,N,1,-73.944198608398437,40.679401397705078,-73.899147033691406,40.675518035888672,1,2.50,11,0,0.5,2,0,,0.3,13.8,1,1
2,2016-06-19 12:33:40,2016-06-19 12:50:56,N,1,-73.949371337890625,40.796379089355469,-73.881484985351563,40.767452239990234,2,6.71,20.5,0,0.5,0,5.54,,0.3,26.84,1,1
2,2016-06-17 23:07:07,2016-06-17 23:08:00,N,2,-73.95159912109375,40.790740966796875,-73.95123291015625,40.791400909423828,1,.04,52,0,0.5,0,0,,0.3,52.8,2,1
2,2016-06-17 23:07:10,2016-06-17 23:12:27,N,1,-73.906486511230469,40.753150939941406,-73.934249877929688,40.753398895263672,1,1.63,7,0.5,0.5,0,0,,0.3,8.3,2,1
2,2016-06-05 14:37:59,2016-06-05 14:43:47,N,1,-73.942924499511719,40.793891906738281,-73.93218994140625,40.795341491699219,1,.83,6,0,0.5,0,0,,0.3,6.8,2,1
2,2016-06-18 18:08:54,2016-06-18 18:28:22,N,1,-73.981582641601562,40.701324462890625,-73.958366394042969,40.673576354980469,1,3.02,14.5,0,0.5,0,0,,0.3,15.3,2,1
2,2016-06-17 09:54:02,2016-06-17 10:00:20,N,1,-73.952873229980469,40.791866302490234,-73.967140197753906,40.788166046142578,1,1.12,6.5,0,0.5,0,0,,0.3,7.3,2,1
1,2016-06-09 21:48:41,2016-06-09 21:52:25,N,1,-73.962715148925781,40.682746887207031,-73.957550048828125,40.685386657714844,1,.70,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
