VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 00:00:06,2016-03-01 00:07:08,5,2.17,-73.975486755371094,40.787033081054687,1,N,-73.952957153320313,40.807643890380859,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2016-03-01 00:00:07,2016-03-01 00:36:51,1,18.03,-73.789413452148437,40.647018432617188,2,N,-74.000991821289063,40.726940155029297,1,52,0,0.5,13.2,0,0.3,66
1,2016-03-01 00:00:08,2016-03-01 00:03:22,1,1.00,-73.981124877929688,40.737300872802734,1,N,-73.988014221191406,40.725601196289063,1,5,0.5,0.5,1,0,0.3,7.3
2,2016-03-01 00:00:08,2016-03-01 00:26:18,1,11.53,-73.992301940917969,40.749713897705078,1,N,-74.030715942382812,40.618621826171875,2,33.5,0.5,0.5,0,0,0.3,34.8
2,2016-03-01 00:00:08,2016-03-01 00:16:31,4,4.26,-74.007942199707031,40.706268310546875,1,N,-73.9564208984375,40.718898773193359,2,16,0.5,0.5,0,0,0.3,17.3
2,2016-03-01 00:00:09,2016-03-01 00:10:09,2,2.66,-73.954658508300781,40.768909454345703,1,N,-73.976112365722656,40.744949340820313,1,11,0.5,0.5,2.46,0,0.3,14.76
1,2016-03-01 00:00:10,2016-03-01 00:10:01,1,1.70,-73.965614318847656,40.790332794189453,1,N,-73.947990417480469,40.774517059326172,1,9,0.5,0.5,2.05,0,0.3,12.35
1,2016-03-01 00:00:10,2016-03-01 00:11:04,1,2.40,-73.987289428710938,40.755691528320313,1,N,-73.960845947265625,40.769500732421875,1,10.5,0.5,0.5,2.35,0,0.3,14.15
1,2016-03-01 00:00:10,2016-03-01 00:04:38,1,1.00,-73.981834411621094,40.756263732910156,1,N,-73.987060546875,40.748668670654297,2,5.5,0.5,0.5,0,0,0.3,6.8
1,2016-03-01 00:00:11,2016-03-01 00:13:49,2,3.70,-73.951225280761719,40.782772064208984,1,N,-73.98895263671875,40.748260498046875,1,13.5,0.5,0.5,2.95,0,0.3,17.75
1,2016-03-01 00:00:12,2016-03-01 00:08:41,1,1.30,-73.983009338378906,40.756183624267578,1,N,-73.965858459472656,40.754238128662109,1,7.5,0.5,0.5,0,0,0.3,8.8
1,2016-03-01 00:00:12,2016-03-01 00:29:57,1,9.20,-73.988624572753906,40.721683502197266,1,N,-73.938514709472656,40.817020416259766,1,31,0.5,0.5,8.05,0,0.3,40.35
2,2016-03-01 00:00:13,2016-03-01 00:04:56,5,.79,-73.991790771484375,40.749187469482422,1,N,-73.989509582519531,40.757778167724609,1,5.5,0.5,0.5,1.36,0,0.3,8.16
2,2016-03-01 00:00:13,2016-03-01 00:02:42,1,.95,-73.995918273925781,40.738670349121094,1,N,-73.992034912109375,40.749496459960938,2,4.5,0.5,0.5,0,0,0.3,5.8
1,2016-03-01 00:00:14,2016-03-01 00:21:58,1,6.90,-73.954185485839844,40.764141082763672,1,N,-73.902435302734375,40.826969146728516,2,22.5,0.5,0.5,0,0,0.3,23.8
2,2016-03-01 00:00:14,2016-03-01 00:16:37,1,4.26,-73.961700439453125,40.654949188232422,1,N,-73.936126708984375,40.697719573974609,1,15.5,0.5,0.5,2,0,0.3,18.8
2,2016-03-01 00:00:14,2016-03-01 00:11:14,1,3.11,-73.989021301269531,40.718906402587891,1,N,-73.946708679199219,40.695648193359375,2,12,0.5,0.5,0,0,0.3,13.3
1,2016-03-01 00:00:15,2016-03-01 00:09:52,1,3.80,-73.97113037109375,40.75152587890625,1,N,-73.988739013671875,40.712821960449219,1,13,0.5,0.5,2.85,0,0.3,17.15
1,2016-03-01 00:00:16,2016-03-01 00:11:59,1,2.80,-73.981971740722656,40.761695861816406,1,N,-73.974922180175781,40.793174743652344,2,11,0.5,0.5,0,0,0.3,12.3
2,2016-03-01 00:00:16,2016-03-01 00:03:56,1,1.21,-73.969039916992188,40.790981292724609,1,N,-73.962089538574219,40.805351257324219,1,5.5,0.5,0.5,1,0,0.3,7.8
2,2016-03-01 00:00:16,2016-03-01 00:04:38,1,1.31,-73.998428344726563,40.740581512451172,1,N,-73.994590759277344,40.754989624023437,1,6,0.5,0.5,1.46,0,0.3,8.76
1,2016-03-01 00:00:17,2016-03-01 00:12:02,1,2.70,-74.005783081054688,40.740409851074219,1,N,-73.981971740722656,40.764007568359375,1,11,0.5,0.5,2.45,0,0.3,14.75
