area,authors/0/category,authors/0/name,authors/0/order,authors/1/category,authors/1/name,authors/1/order,authors/2/category,authors/2/name,authors/2/order,authors/3/category,authors/3/name,authors/3/order,authors/4/category,authors/4/name,authors/4/order,authors/5/category,authors/5/name,authors/5/order,authors/6/category,authors/6/name,authors/6/order,authors/7/category,authors/7/name,authors/7/order,authors/8/category,authors/8/name,authors/8/order,extension/advertising,extension/edition,extension/event_city,extension/event_country,extension/event_name,extension/fasciculo,extension/idiom,extension/isbn_issn,extension/n_finalPage,extension/n_startPage,extension/nature,extension/observation,extension/serie,extension/title,extension/url,extension/volume,ies,name,program,researchLine,researchProjet,subtype_,type_,year,extension/city,extension/doi,extension/editor,extension/issn,extension/advertising_mode,extension/author_info,extension/award,extension/award_date,extension/city_country,extension/content_nature,extension/contribution_type,extension/distribution,extension/editor_type,extension/editorial_city,extension/editorial_conselor,extension/funding,extension/indication_date,extension/indice,extension/institution,extension/isbn,extension/name_funding,extension/page_count,extension/page_count_contribution,extension/parecer,extension/reedition,extension/reference_work,extension/reimpresion,extension/tiragem,extension/year_fst_pusblish,authors/9/category,authors/9/name,authors/9/order,authors/10/category,authors/10/name,authors/10/order,authors/11/category,authors/11/name,authors/11/order,authors/12/category,authors/12/name,authors/12/order,authors/13/category,authors/13/name,authors/13/order,authors/14/category,authors/14/name,authors/14/order,authors/15/category,authors/15/name,authors/15/order,authors/16/category,authors/16/name,authors/16/order,authors/17/category,authors/17/name,authors/17/order,authors/18/category,authors/18/name,authors/18/order,authors/19/category,authors/19/name,authors/19/order,authors/20/category,authors/20/name,authors/20/order,authors/21/category,authors/21/name,authors/21/order,authors/22/category,authors/22/name,authors/22/order,authors/23/category,authors/23/name,authors/23/order,authors/24/category,authors/24/name,authors/24/order,authors/25/category,authors/25/name,authors/25/order,authors/26/category,authors/26/name,authors/26/order,authors/27/category,authors/27/name,authors/27/order,authors/28/category,authors/28/name,authors/28/order,authors/29/category,authors/29/name,authors/29/order,authors/30/category,authors/30/name,authors/30/order,authors/31/category,authors/31/name,authors/31/order,authors/32/category,authors/32/name,authors/32/order
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Sem categoria,"JUNIOR, ELIAS VIDAL BEZERRA",1,Docente,ALEX SANDRO GOMES,2,Sem categoria,"SOUZA, FL VIA VELOSO COSTA",3,Sem categoria,Socorro Vania Lourenço Alves,4,,,,,,,,,,,,,,,,MEIO DIGITAL,-,-,BRASIL,XIX Workshop de Informática na Escola,-,Português,-,-,-,TRABALHO COMPLETO,-,-,XIX Workshop de Informática na Escola,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ANÁLISE DA PRÁTICA DOCENTE COM REDE SOCIAL EDUCATIVA NA DISCIPLINA DE PROGRAMAÇÃO ORIENTADA A OBJETO,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,Um Framework para aplicação de PBL no ensino de Engenharia de Software,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REDES DE COMPUTADORES E SISTEMAS DISTRIBUIDOS,Sem categoria,Rodrigo J. B. C. Santos,1,Discente,BERNARDO FONSECA REIS DE SOUZA,2,Discente,MARCIO AUGUSTO SILVA BUENO,3,Docente,JUDITH KELNER,4,,,,,,,,,,,,,,,,OUTRO,-,Jataí-GO,BRASIL,X Workshop de Realidade Virtual e Aumentada,-,Português,-,-,-,TRABALHO COMPLETO,-,-,Análise do desempenho de técnicas de rastreamento 3D: Algoritmos recursivos baseados em aresta e textura,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ANÁLISE DO DESEMPENHO DE TÉCNICAS DE RASTREAMENTO 3D: ALGORITMOS RECURSIVOS BASEADOS EM ARESTA E TEXTURA,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),REDES DE COMPUTADORES,LOCALIZAÇÃO E RASTREAMENTO DE DISPOSITIVOS COMPUTACIONAIS MÓVEIS NO CONTEXTO DE CIDADES INTELIGENTES,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Sem categoria,Ariane Rodrigues,1,Docente,SIMONE CRISTIANE DOS SANTOS LIMA,2,,,,,,,,,,,,,,,,,,,,,,MEIO DIGITAL,,,,,-,Português,,15,1,Trabalho Completo,-,-,,http://www.br-ie.org/pub/index.php/rbie/article/view/1416,21,UNIVERSIDADE FEDERAL DE PERNAMBUCO,APLICANDO A TAXONOMIA DE BLOOM REVISADA PARA GERENCIAR PROCESSOS DE ENSINO EM SISTEMAS DE APRENDIZAGEM BASEADA EM PROBLEMAS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,USO E IMPACTO DE JOGOS EDUCACIONAIS EM ESCOLAS DE ENSINO FUNDAMENTAL,ARTIGO EM PERIÓDICO,BIBLIOGRAFICA,2013,-,http://dx.doi.org/10.5753/rbie.2013.21.01.01,-,Revista Brasileira de Informática na Educação,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Sem categoria,Victor Verhmelen Valenzuela,1,Docente,RAFAEL DUEIRE LINS,2,Sem categoria,H lio Magalh es de Oliveira,3,,,,,,,,,,,,,,,,,,,VÁRIOS,-,"Póvoa do Varzim, Portugal",ALEMANHA,International Conference on Document Analysis and Recognition,-,Inglês,-,-,60,TRABALHO COMPLETO,Evento a ocorrer de 25 a 27.06.2013,-,ICIAR 2013,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,APPLICATION OF ENHANCED-2D-CWT IN TOPOGRAPHIC IMAGES FOR MAPPING LANDSLIDE RISK AREAS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),PROCESSAMENTO DE IMAGENS,NÃO INFORMADO,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPUTAÇÃO INTELIGENTE,Discente,GABRIELLA ALVES BULHOES BARROS,1,Sem categoria,ATILA VALGUEIRO MALTA MOREIRA,2,Discente,VICENTE VIEIRA FILHO,3,Discente,LEONARDO VIEIRA DE CARVALHO,4,Discente,MARCO TULIO CARACIOLO FERREIRA ALBUQUERQUE,5,Docente,GEBER LISBOA RAMALHO,6,,,,,,,,,,VÁRIOS,-,São Paulo,BRASIL,XII Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames 2013) - Art&Design Track,-,Inglês,-,-,-,TRABALHO COMPLETO,-,-,Proceedings do XII Simpósio Brasileiro de Jogos e Entretenimento Digital - Art&Design Track,-,01,UNIVERSIDADE FEDERAL DE PERNAMBUCO,APPLYING BLUE OCEAN STRATEGY TO GAME DESIGN: A PATH TO INNOVATION,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),INTELIGÊNCIA ARTIFICIAL SIMBÓLICA,SMARTSIM: SIMULADORES PARA JOGOS DE NEGÓCIO USANDO ATORES SINTÉTICOS: UMA APLICAÇÃO À CAPACITAÇÃO DE GERENTES DE PROJETOS DE DESENVOLVIMENTO DE SOFTWARE,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NÃO INFORMADA,Docente,ALEX SANDRO GOMES,1,Discente,BRUNO DE SOUSA MONTEIRO,2,Sem categoria,Francisco Milton Mendes Neto,3,,,,,,,,,,,,,,,,,,,,,,,,,Capítulo,,,,-,-,,-,Idioma Nacional,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,APRENDIZADO UBÍQUO,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),NÃO INFORMADA,NÃO INFORMADO,LIVRO,BIBLIOGRAFICA,2013,,,-,,-,-,EDUFRN,-,-,file:///C:/Users/jsmf/Downloads/Gomes2013.pdf,Didática,-,-,-,-,-,9788542501209,Obra Única,-,Obra Impressa,-,-,Inovação tecnológica em educação à distância: uma abordagem convergente,-,-,BRASIL,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NÃO INFORMADA,Sem categoria,Antônio Carlos dos Santos Xavier,1,Docente,ALEX SANDRO GOMES,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Obra Completa,,,,-,-,,-,Idioma Nacional,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,APRENDIZAGEM MÓVEL DENTRO E FORA DA ESCOLA: LIVRO DE RESUMOS. ANAIS DO 5º SIMPÓSIO HIPERTEXTO E TECNOLOGIAS NA EDUCAÇÃO E 1º COLÓQUIO INTERNACIONAL DE EDUCAÇÃO COM TECNOLOGIAS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),NÃO INFORMADA,NÃO INFORMADO,LIVRO,BIBLIOGRAFICA,2013,,,-,,-,-,Pipa Comunicação,-,-,-,Didática,-,-,-,-,-,9788566530254,Obra Única,248,Obra Impressa,-,-,ANAIS DO 5º SIMPÓSIO HIPERTEXTO E TECNOLOGIAS NA EDUCAÇÃO E 1º COLÓQUIO INTERNACIONAL DE EDUCAÇÃO COM TECNOLOGIAS,-,-,BRASIL,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Discente,FRANCISCO PETRONIO ALENCAR DE MEDEIROS,1,Docente,ALEX SANDRO GOMES,2,Participante Externo,RICARDO JOSE ROCHA AMORIM,3,Sem categoria,"MEDEIROS, GABRIELA",4,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Beijing,CHINA NACIONALISTA,2013 IEEE 13th International Conference on Advanced Learning Technologies (ICALT),-,Inglês,-,-,123,TRABALHO COMPLETO,-,-,2013 IEEE 13th International Conference on Advanced Learning Technologies,-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ARCHITECTURE FOR SOCIAL INTERACTIONS MONITORING IN COLLABORATIVE LEARNING ENVIRONMENTS AS A SUPPORT FOR THE TEACHER'S AWARENESS,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,USO E IMPACTO DE JOGOS EDUCACIONAIS EM ESCOLAS DE ENSINO FUNDAMENTAL,TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NÃO INFORMADA,Participante Externo,MARIA LENCASTRE PINHEIRO DE MENEZES E CRUZ,1,Sem categoria,Jo o Baptista da Silva Ara jo,2,Sem categoria,Ana Maria Dinis Moreira,3,Docente,JAELSON FREIRE BRELAZ DE CASTRO,4,,,,,,,,,,,,,,,,,,,,,,Capítulo,,,,-,-,,-,Idioma Estrangeiro,,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASPECT COMPOSITION IN PROBLEM FRAMES (TO APPEAR),CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),NÃO INFORMADA,NÃO INFORMADO,LIVRO,BIBLIOGRAFICA,2013,,,-,,-,"Product Details Hardcover: 365 pages Publisher: Springer; 2013 edition (August 31, 2013) Language: English ISBN-10: 3642386393 ISBN-13: 978-3642386398",Spinger Verlag,-,-,-,Didática,-,-,-,-,-,9783642386398,Obra Única,-,Obra Digital / Eletrônica,-,-,Aspect-Oriented Requirements Engineering Aspect-Oriented Requirements Engineering,-,-,ALEMANHA,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGENHARIA DE SOFTWARE E LINGUAGENS DE PROGRAMAÇÃO,Discente,RODRIGO CARDOSO AMARAL DE ANDRADE,1,Discente,HENRIQUE EMANUEL MOSTAERT REBELO,2,Participante Externo,MARCIO DE MEDEIROS RIBEIRO,3,Docente,PAULO HENRIQUE MONTEIRO BORBA,4,,,,,,,,,,,,,,,,MEIO DIGITAL,-,Brasília,BRASIL,"VII Simpósio Brasileiro de Componentes, Arquitetura e Reutilização de Software (SBCARS 2013)",-,Inglês,-,-,59,TRABALHO COMPLETO,-,-,"VII Simpósio Brasileiro de Componentes, Arquitetura e Reutilização de Software (SBCARS 2013)",-,1,UNIVERSIDADE FEDERAL DE PERNAMBUCO,ASPECTJ-BASED IDIOMS FOR FLEXIBLE FEATURE BINDING,CIÊNCIAS DA COMPUTAÇÃO (25001019004P6),ENGENHARIA DE SOFTWARE,DESENVOLVIMENTO DE LINHAS DE PRODUTOS DE SOFTWARE USANDO TÉCNICAS ORIENTADAS A ASPECTOS (PROCAD CAPES),TRABALHO EM ANAIS,BIBLIOGRAFICA,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
